名称,大类,中类,lng,lat,省份,城市,区域
山坡乡丰收村卫生院,医疗保健,综合医院,114.310992,30.072484,湖北省,武汉市,江夏区
武汉东湖新技术开发区滨湖街社区卫生中心,医疗保健,综合医院,114.466716,30.30231,湖北省,武汉市,江夏区
北京渔美康水产医院,医疗保健,综合医院,114.750519,30.673881,湖北省,武汉市,新洲区
涨渡湖街卫生室,医疗保健,综合医院,114.800767,30.668887,湖北省,武汉市,新洲区
东荆街社区卫生中心,医疗保健,综合医院,113.918501,30.341051,湖北省,武汉市,汉南区
东荆街卫生室,医疗保健,综合医院,113.919289,30.341136,湖北省,武汉市,汉南区
东荆街沟北社区卫生运营服务站,医疗保健,综合医院,113.928963,30.310262,湖北省,武汉市,汉南区
消泗乡卫生室,医疗保健,综合医院,113.780301,30.315879,湖北省,武汉市,蔡甸区
成功卫生室,医疗保健,综合医院,113.716147,30.401861,湖北省,武汉市,蔡甸区
洪北卫生室,医疗保健,综合医院,113.856777,30.392992,湖北省,武汉市,蔡甸区
桐湖卫生室,医疗保健,综合医院,113.94829,30.369461,湖北省,武汉市,蔡甸区
湖泗卫生室,医疗保健,综合医院,114.47289,30.015397,湖北省,武汉市,江夏区
山坡中心卫生室贺站分院,医疗保健,综合医院,114.362167,30.036807,湖北省,武汉市,江夏区
安山卫生室,医疗保健,综合医院,114.290029,30.153964,湖北省,武汉市,江夏区
江夏中心卫生室保福分院,医疗保健,综合医院,114.418685,30.103767,湖北省,武汉市,江夏区
保福卫生室,医疗保健,综合医院,114.418198,30.10322,湖北省,武汉市,江夏区
舒安乡卫生室,医疗保健,综合医院,114.5085,30.113401,湖北省,武汉市,江夏区
舒安街卫生室,医疗保健,综合医院,114.508429,30.114024,湖北省,武汉市,江夏区
郑店卫生室段岭庙分院,医疗保健,综合医院,114.280536,30.264204,湖北省,武汉市,江夏区
武钢乌龙泉矿医院,医疗保健,综合医院,114.317355,30.263754,湖北省,武汉市,江夏区
乌龙泉街卫生室,医疗保健,综合医院,114.333298,30.259185,湖北省,武汉市,江夏区
乌龙泉卫生院公共卫生服务站,医疗保健,综合医院,114.332992,30.259395,湖北省,武汉市,江夏区
乌龙泉街乌龙泉矿社区卫生运营服务站,医疗保健,综合医院,114.320436,30.264426,湖北省,武汉市,江夏区
大埠镇卫生室,医疗保健,综合医院,114.742565,30.611117,湖北省,武汉市,新洲区
青菱街老桥社区卫生运营服务站,医疗保健,综合医院,114.223357,30.412407,湖北省,武汉市,洪山区
龙泉街社区卫生中心,医疗保健,综合医院,114.536599,30.388167,湖北省,武汉市,江夏区
双柳街卫生室,医疗保健,综合医院,114.647722,30.585522,湖北省,武汉市,新洲区
六指卫生室,医疗保健,综合医院,114.497094,30.885271,湖北省,武汉市,黄陂区
六指街中心卫生室,医疗保健,综合医院,114.497322,30.884868,湖北省,武汉市,黄陂区
六指街中心卫生室发热门诊,医疗保健,综合医院,114.498235,30.884105,湖北省,武汉市,黄陂区
六指街社区卫生中心,医疗保健,综合医院,114.497466,30.884815,湖北省,武汉市,黄陂区
大潭原种厂伍家港村卫生室,医疗保健,综合医院,114.392395,30.814020000000003,湖北省,武汉市,黄陂区
c,医疗保健,综合医院,114.35654,30.850588,湖北省,武汉市,黄陂区
黄陂新人民医院,医疗保健,综合医院,114.357923,30.851224,湖北省,武汉市,黄陂区
旧街街社区卫生中心,医疗保健,综合医院,114.926408,30.832487,湖北省,武汉市,新洲区
旧街中心卫生室核酸采样点,医疗保健,综合医院,114.926782,30.832128,湖北省,武汉市,新洲区
旧街中心卫生室,医疗保健,综合医院,114.926481,30.831709,湖北省,武汉市,新洲区
道观河风景旅游区卫生室,医疗保健,综合医院,114.987516,30.87655,湖北省,武汉市,新洲区
辛冲街卫生室门诊部,医疗保健,综合医院,114.818912,30.773139,湖北省,武汉市,新洲区
辛冲卫生室免疫接种门诊,医疗保健,综合医院,114.818522,30.772805,湖北省,武汉市,新洲区
辛冲街卫生室,医疗保健,综合医院,114.818193,30.773222,湖北省,武汉市,新洲区
三店街卫生室和平分院,医疗保健,综合医院,114.862725,30.918648,湖北省,武汉市,新洲区
和平乡卫生室,医疗保健,综合医院,114.863005,30.918798,湖北省,武汉市,新洲区
旧街中心卫生室新集分院,医疗保健,综合医院,114.95174,30.895581,湖北省,武汉市,新洲区
旧街街新集社区卫生运营服务站,医疗保健,综合医院,114.95191,30.896179,湖北省,武汉市,新洲区
新集镇卫生室,医疗保健,综合医院,114.951307,30.895581,湖北省,武汉市,新洲区
徐古中心卫生室住院部,医疗保健,综合医院,114.977943,30.945413,湖北省,武汉市,新洲区
徐古中心卫生室妇保儿保中心,医疗保健,综合医院,114.977741,30.945319,湖北省,武汉市,新洲区
徐古中心卫生室,医疗保健,综合医院,114.978071,30.945543,湖北省,武汉市,新洲区
土庙医院,医疗保健,综合医院,114.235433,30.933805,湖北省,武汉市,黄陂区
三合店村卫生所,医疗保健,综合医院,114.388844,30.990638,湖北省,武汉市,黄陂区
罗汉街卫生室研子分院,医疗保健,综合医院,114.341765,31.015623,湖北省,武汉市,黄陂区
李集街中心卫生室方安分院,医疗保健,综合医院,114.207707,30.9758,湖北省,武汉市,黄陂区
达义村卫生院,医疗保健,综合医院,114.240465,30.952721,湖北省,武汉市,黄陂区
团山卫生所,医疗保健,综合医院,114.501065,30.911258,湖北省,武汉市,黄陂区
王家河镇卫生室长堰分院,医疗保健,综合医院,114.45214,31.007379,湖北省,武汉市,黄陂区
王家河卫生室长堰分院母婴室,医疗保健,综合医院,114.452427,31.006826,湖北省,武汉市,黄陂区
武汉长建医院,医疗保健,综合医院,114.459037,31.10036,湖北省,武汉市,黄陂区
塔耳医院柿子分院,医疗保健,综合医院,114.43511,31.147105,湖北省,武汉市,黄陂区
西港村卫生室,医疗保健,综合医院,114.163738,30.184549,湖北省,武汉市,江夏区
法泗卫生室核酸采样点,医疗保健,综合医院,114.172322,30.159155,湖北省,武汉市,江夏区
法泗卫生室,医疗保健,综合医院,114.171917,30.158668,湖北省,武汉市,江夏区
范湖卫生室,医疗保健,综合医院,114.136298,30.299344,湖北省,武汉市,江夏区
金口街社区卫生中心范湖分中心,医疗保健,综合医院,114.135756,30.299605,湖北省,武汉市,江夏区
邓南街社区卫生中心,医疗保健,综合医院,113.987118,30.30042,湖北省,武汉市,汉南区
邓南中心卫生室公共卫生科,医疗保健,综合医院,113.986289,30.300452,湖北省,武汉市,汉南区
邓南街卫生室,医疗保健,综合医院,113.987671,30.299605,湖北省,武汉市,汉南区
湘口街卫生室公共卫生楼,医疗保健,综合医院,113.856895,30.262637,湖北省,武汉市,汉南区
湘口街卫生室,医疗保健,综合医院,113.857157,30.262308,湖北省,武汉市,汉南区
中共湘口街卫生室支部委员会,医疗保健,综合医院,113.857018,30.26244,湖北省,武汉市,汉南区
汉方药谷中医院,医疗保健,综合医院,113.934,30.450082,湖北省,武汉市,蔡甸区
军山医院,医疗保健,综合医院,114.130913,30.367428,湖北省,武汉市,蔡甸区
军山社区卫生中心,医疗保健,综合医院,114.131413,30.367615,湖北省,武汉市,蔡甸区
川江池社区卫生中心,医疗保健,综合医院,114.131436,30.366928,湖北省,武汉市,蔡甸区
军山卫生室军山分院,医疗保健,综合医院,114.131462,30.367510000000003,湖北省,武汉市,蔡甸区
军山街小军山社区卫生运营服务站,医疗保健,综合医院,114.160255,30.408228,湖北省,武汉市,蔡甸区
玉贤镇卫生室,医疗保健,综合医院,113.985883,30.52548,湖北省,武汉市,蔡甸区
玉贤街卫生室公共卫生楼,医疗保健,综合医院,113.985286,30.524692,湖北省,武汉市,蔡甸区
玉贤街卫生室,医疗保健,综合医院,113.986347,30.524665,湖北省,武汉市,蔡甸区
索河街卫生室,医疗保健,综合医院,113.905749,30.522743,湖北省,武汉市,蔡甸区
索河街卫生室综合楼,医疗保健,综合医院,113.906603,30.522033,湖北省,武汉市,蔡甸区
姚家集街道卫生室门诊部,医疗保健,综合医院,114.370519,31.216827,湖北省,武汉市,黄陂区
姚家集街道卫生室,医疗保健,综合医院,114.369599,31.21722,湖北省,武汉市,黄陂区
姚家集街社区卫生中心,医疗保健,综合医院,114.370278,31.216656,湖北省,武汉市,黄陂区
山坡中心卫生室,医疗保健,综合医院,114.349038,30.085132,湖北省,武汉市,江夏区
五里界卫生室,医疗保健,综合医院,114.398133,30.338971,湖北省,武汉市,江夏区
江夏云景山医院,医疗保健,综合医院,114.269815,30.292126000000003,湖北省,武汉市,江夏区
中国人民解放军3303工厂职工医院,医疗保健,综合医院,114.285048,30.335678,湖北省,武汉市,武昌区
社区卫生中心3303,医疗保健,综合医院,114.285013,30.33473,湖北省,武汉市,武昌区
石洞街社区卫生中心,医疗保健,综合医院,114.285514,30.335324,湖北省,武汉市,武昌区
武汉汉纸医院,医疗保健,综合医院,114.201495,30.460651,湖北省,武汉市,蔡甸区
东荆社区卫生运营服务站,医疗保健,综合医院,114.20125,30.460658,湖北省,武汉市,蔡甸区
九峰街社区卫生中心门诊,医疗保健,综合医院,114.477415,30.504888,湖北省,武汉市,洪山区
东湖新技术开发区九峰街社区卫生中心,医疗保健,综合医院,114.477831,30.504791,湖北省,武汉市,洪山区
建强社区卫生运营服务站,医疗保健,综合医院,114.459283,30.534714,湖北省,武汉市,洪山区
鼓架村社区卫生运营服务站,医疗保健,综合医院,114.459048,30.550078,湖北省,武汉市,洪山区
东湖生态旅游风景区滨湖社区卫生运营服务站,医疗保健,综合医院,114.452104,30.549305,湖北省,武汉市,洪山区
龙王咀卫生室,医疗保健,综合医院,114.670444,30.593884,湖北省,武汉市,新洲区
武汉同济航天城医院,医疗保健,综合医院,114.668956,30.601129,湖北省,武汉市,新洲区
泰康楚园康复医院,医疗保健,综合医院,114.491729,30.566003,湖北省,武汉市,洪山区
武汉钢铁,医疗保健,综合医院,114.487228,30.602169,湖北省,武汉市,青山区
武钢二医院精神科,医疗保健,综合医院,114.474877,30.597771,湖北省,武汉市,青山区
武钢第二职工医院,医疗保健,综合医院,114.487053,30.60291,湖北省,武汉市,青山区
华润医疗武钢二医院,医疗保健,综合医院,114.487929,30.602905,湖北省,武汉市,青山区
白玉山街社区卫生中心,医疗保健,综合医院,114.486423,30.602969,湖北省,武汉市,青山区
武钢第二职工医院门诊部,医疗保健,综合医院,114.486609,30.602317,湖北省,武汉市,青山区
武汉钢铁,医疗保健,综合医院,114.487197,30.602786,湖北省,武汉市,青山区
武钢第二职工医院药剂楼,医疗保健,综合医院,114.487611,30.603333,湖北省,武汉市,青山区
武汉城市学院社区卫生运营服务站,医疗保健,综合医院,114.427713,30.585353,湖北省,武汉市,洪山区
华中科技大学同济医学院梨园心血管临床医学中心,医疗保健,综合医院,114.379042,30.581334,湖北省,武汉市,武昌区
华中科技大学同济医学院附属梨园医院预防接种门诊,医疗保健,综合医院,114.377775,30.582595,湖北省,武汉市,武昌区
华中科技大学同济医学院附属梨园医院DSA介入治疗中心,医疗保健,综合医院,114.378274,30.581919,湖北省,武汉市,武昌区
华中科技大学同济医学院附属梨园医院急诊,医疗保健,综合医院,114.377517,30.581888,湖北省,武汉市,武昌区
梨园医院胸痛中心,医疗保健,综合医院,114.377797,30.581813,湖北省,武汉市,武昌区
梨园医院门诊放射科,医疗保健,综合医院,114.377427,30.582023000000003,湖北省,武汉市,武昌区
华中科技大学同济医学院附属梨园医院住院部南楼,医疗保健,综合医院,114.378637,30.582392,湖北省,武汉市,武昌区
华中科技大学同济医学院附属梨园医院住院部北楼,医疗保健,综合医院,114.379162,30.582454,湖北省,武汉市,武昌区
华中科技大学同济医学院附属梨园医院门诊部,医疗保健,综合医院,114.378244,30.582309,湖北省,武汉市,武昌区
华中科技大学同济医学院福附属梨园医院住院部,医疗保健,综合医院,114.379192,30.582251,湖北省,武汉市,武昌区
协和医院质子中心,医疗保健,综合医院,114.195192,30.675784,湖北省,武汉市,东西湖区
石化医院,医疗保健,综合医院,114.432614,30.657612,湖北省,武汉市,青山区
武汉普仁青船医院,医疗保健,综合医院,114.437095,30.655002,湖北省,武汉市,青山区
青山镇街社区卫生中心,医疗保健,综合医院,114.433755,30.656789,湖北省,武汉市,青山区
谌家矶医院,医疗保健,综合医院,114.372014,30.677508,湖北省,武汉市,江岸区
长江明珠敬老院医疗中心,医疗保健,综合医院,114.367711,30.672412,湖北省,武汉市,江岸区
谌家矶街社区卫生中心,医疗保健,综合医院,114.368039,30.672195,湖北省,武汉市,江岸区
阳逻汽渡社区卫生运营服务站,医疗保健,综合医院,114.574148,30.627573,湖北省,武汉市,新洲区
汪集街中心卫生室孔埠分院,医疗保健,综合医院,114.670732,30.804397,湖北省,武汉市,新洲区
甘棠卫生室,医疗保健,综合医院,114.586299,30.88252,湖北省,武汉市,黄陂区
六指街中心卫生室甘棠分院,医疗保健,综合医院,114.585766,30.882331,湖北省,武汉市,黄陂区
六指街中心卫生室甘棠分院门诊部,医疗保健,综合医院,114.585757,30.882556,湖北省,武汉市,黄陂区
六指街中心卫生室甘棠免疫接种门诊,医疗保健,综合医院,114.585524,30.88145,湖北省,武汉市,黄陂区
横店街建国社区卫生运营服务站,医疗保健,综合医院,114.286335,30.80371,湖北省,武汉市,黄陂区
武汉长建医院,医疗保健,综合医院,114.336002,30.858242,湖北省,武汉市,黄陂区
武汉仁德医院,医疗保健,综合医院,114.335705,30.857605,湖北省,武汉市,黄陂区
汪集街中心卫生室,医疗保健,综合医院,114.713131,30.776052,湖北省,武汉市,新洲区
李集街张店社区卫生中心,医疗保健,综合医院,114.743315,30.853603,湖北省,武汉市,新洲区
潘塘街卫生室,医疗保健,综合医院,114.895088,30.996881,湖北省,武汉市,新洲区
前川街桃花村卫生院,医疗保健,综合医院,114.359465,30.904125,湖北省,武汉市,黄陂区
王家河街社区卫生中心,医疗保健,综合医院,114.422905,30.96047,湖北省,武汉市,黄陂区
王家河街卫生室门诊部,医疗保健,综合医院,114.422636,30.961299,湖北省,武汉市,黄陂区
王家河街道卫生室,医疗保健,综合医院,114.42296,30.961107,湖北省,武汉市,黄陂区
罗汉寺街道卫生室,医疗保健,综合医院,114.308076,30.958719,湖北省,武汉市,黄陂区
长轩岭街道中心卫生室,医疗保健,综合医院,114.348551,31.090406,湖北省,武汉市,黄陂区
长轩岭街道中心卫生室公卫部,医疗保健,综合医院,114.348559,31.090567,湖北省,武汉市,黄陂区
长轩岭街道中心卫生室核酸采样点,医疗保健,综合医院,114.348574,31.090792,湖北省,武汉市,黄陂区
金水卫生室,医疗保健,综合医院,114.123711,30.291777,湖北省,武汉市,江夏区
金口街范湖社区卫生运营服务站,医疗保健,综合医院,114.127679,30.297617,湖北省,武汉市,江夏区
金港新区社区卫生中心,医疗保健,综合医院,114.149035,30.340841,湖北省,武汉市,江夏区
乌金社区卫生室,医疗保健,综合医院,114.054452,30.343465,湖北省,武汉市,汉南区
军山卫生室,医疗保健,综合医院,114.089235,30.407288,湖北省,武汉市,蔡甸区
军山街凤凰苑社区卫生计划运营服务站,医疗保健,综合医院,114.086795,30.419557,湖北省,武汉市,蔡甸区
经济技术开发区军山街黄陵社区卫生中心,医疗保健,综合医院,114.088366,30.40828,湖北省,武汉市,蔡甸区
常福医院,医疗保健,综合医院,113.965333,30.446046000000003,湖北省,武汉市,蔡甸区
大集街卫生室,医疗保健,综合医院,114.052018,30.506475,湖北省,武汉市,蔡甸区
大集街生殖健康服务,医疗保健,综合医院,114.050536,30.505595,湖北省,武汉市,蔡甸区
大集街社区卫生中心健康管理门诊,医疗保健,综合医院,114.051659,30.506557,湖北省,武汉市,蔡甸区
武汉济安医院,医疗保健,综合医院,114.155977,30.523366,湖北省,武汉市,蔡甸区
武汉火神山医院,医疗保健,综合医院,114.088131,30.526439,湖北省,武汉市,蔡甸区
同济医院蔡甸院区科研大楼,医疗保健,综合医院,114.114403,30.53588,湖北省,武汉市,蔡甸区
同济医院科研大楼,医疗保健,综合医院,114.114552,30.535534,湖北省,武汉市,蔡甸区
张湾街卫生室,医疗保健,综合医院,113.979518,30.582303,湖北省,武汉市,蔡甸区
新沟医院,医疗保健,综合医院,113.993616,30.635988,湖北省,武汉市,东西湖区
新沟卫生室,医疗保健,综合医院,113.993185,30.635731,湖北省,武汉市,东西湖区
走马岭街中心卫生室新华中心卫生室,医疗保健,综合医院,113.993366,30.636406,湖北省,武汉市,东西湖区
张湾镇医院,医疗保健,综合医院,113.970733,30.649306,湖北省,武汉市,蔡甸区
武汉华佑医院,医疗保健,综合医院,114.12422,30.738777,湖北省,武汉市,东西湖区
新沟镇街卫生室荷包湖院区,医疗保健,综合医院,113.980562,30.69704,湖北省,武汉市,东西湖区
人民医院蔡店分院,医疗保健,综合医院,114.299291,31.288813,湖北省,武汉市,黄陂区
蔡店街社区健康运营服务站,医疗保健,综合医院,114.297951,31.290708,湖北省,武汉市,黄陂区
蔡店乡卫生室计免接种门诊,医疗保健,综合医院,114.298631,31.288268,湖北省,武汉市,黄陂区
大花山户外运动休闲中心方舱医院,医疗保健,综合医院,114.349038,30.358272,湖北省,武汉市,江夏区
武汉同心手外科医院,医疗保健,综合医院,114.352709,30.385835,湖北省,武汉市,江夏区
武汉顾连康复医院,医疗保健,综合医院,114.424241,30.39426,湖北省,武汉市,江夏区
汉口学院校医院,医疗保健,综合医院,114.318639,30.418269,湖北省,武汉市,江夏区
武汉交通职业学院医院,医疗保健,综合医院,114.267796,30.427172,湖北省,武汉市,洪山区
武汉武中医院行政楼,医疗保健,综合医院,114.311838,30.452551,湖北省,武汉市,洪山区
武中医院住院门诊,医疗保健,综合医院,114.312416,30.452561,湖北省,武汉市,洪山区
武汉武中医院B楼,医疗保健,综合医院,114.311643,30.451793,湖北省,武汉市,洪山区
武汉科技大学医院,医疗保健,综合医院,114.264337,30.443936,湖北省,武汉市,洪山区
华中科技大学协和医院联体医院,医疗保健,综合医院,114.263194,30.442682,湖北省,武汉市,洪山区
青菱街社区卫生中心,医疗保健,综合医院,114.263999,30.444325000000003,湖北省,武汉市,洪山区
青菱街社区卫生中心,医疗保健,综合医院,114.264595,30.442979,湖北省,武汉市,洪山区
青菱街社区卫生中心,医疗保健,综合医院,114.26471,30.44369,湖北省,武汉市,洪山区
黄家湖医院,医疗保健,综合医院,114.268191,30.451479,湖北省,武汉市,洪山区
武咸路湖北中医药大学黄家湖校区校医院一楼大厅,医疗保健,综合医院,114.268497,30.451558,湖北省,武汉市,洪山区
佛祖岭街社区卫生中心,医疗保健,综合医院,114.455921,30.428372,湖北省,武汉市,江夏区
武汉东湖新技术开发区佛祖岭社区卫生中心,医疗保健,综合医院,114.456376,30.428092,湖北省,武汉市,江夏区
豹澥街社区卫生中心,医疗保健,综合医院,114.542981,30.461356,湖北省,武汉市,江夏区
东湖高新区公共卫生中心,医疗保健,综合医院,114.522499,30.482758,湖北省,武汉市,江夏区
光谷中心城西社区卫生中心,医疗保健,综合医院,114.488143,30.467305,湖北省,武汉市,洪山区
光谷同清儿童医院,医疗保健,综合医院,114.464451,30.48532,湖北省,武汉市,洪山区
武汉中德友好医院,医疗保健,综合医院,114.462333,30.485509,湖北省,武汉市,江夏区
光谷同济儿童医院,医疗保健,综合医院,114.462558,30.487374,湖北省,武汉市,江夏区
华中科技大学同济医学院附属同济医院光谷院区门诊,医疗保健,综合医院,114.463436,30.486775,湖北省,武汉市,江夏区
同济医院,医疗保健,综合医院,114.46388,30.486905,湖北省,武汉市,江夏区
华中科技大学同济医学院附属同济医院,医疗保健,综合医院,114.463549,30.4862,湖北省,武汉市,江夏区
华中科技大学同济医学院附属同济医院办公室,医疗保健,综合医院,114.464057,30.486876,湖北省,武汉市,洪山区
华中科技大学同济医学院附属同济医院儿童健教室,医疗保健,综合医院,114.464497,30.487335,湖北省,武汉市,江夏区
华中科技大学同济医学院附属同济医院护士长办公室,医疗保健,综合医院,114.463293,30.486593,湖北省,武汉市,江夏区
同济医院,医疗保健,综合医院,114.462935,30.486712,湖北省,武汉市,江夏区
华中科技大学同济医学院附属同济医院激发室,医疗保健,综合医院,114.463973,30.487011,湖北省,武汉市,江夏区
同济医院光谷院区营养部C1区,医疗保健,综合医院,114.464682,30.488655,湖北省,武汉市,洪山区
华中科技大学同济医学院附属同济医院谈话室,医疗保健,综合医院,114.464398,30.487737,湖北省,武汉市,洪山区
华中科技大学同济医学院附属同济医院光谷院区专用停车场D区,医疗保健,综合医院,114.464034,30.4882,湖北省,武汉市,江夏区
华中科技大学同济医学院附属同济医院光谷院区专用停车场C区,医疗保健,综合医院,114.463475,30.487393,湖北省,武汉市,江夏区
华中科技大学同济医学院附属同济医院储物室,医疗保健,综合医院,114.464046,30.48759,湖北省,武汉市,洪山区
同济医院光谷院区感染性疾病门诊,医疗保健,综合医院,114.463465,30.488402,湖北省,武汉市,江夏区
华中科技大学同济医学院附属同济医院器械室,医疗保健,综合医院,114.463835,30.488119,湖北省,武汉市,江夏区
华中科技大学同济医学院附属同济医院消毒供应中心,医疗保健,综合医院,114.463255,30.48826,湖北省,武汉市,江夏区
武汉未来科技城社区卫生运营服务站,医疗保健,综合医院,114.540779,30.494644,湖北省,武汉市,江夏区
武东街西区社区卫生中心,医疗保健,综合医院,114.456458,30.580248,湖北省,武汉市,青山区
武汉普仁广惠医院,医疗保健,综合医院,114.46373,30.578888,湖北省,武汉市,青山区
武东街东区社区卫生中心,医疗保健,综合医院,114.464001,30.578862,湖北省,武汉市,青山区
武东街东区社区卫生中心,医疗保健,综合医院,114.463576,30.579366,湖北省,武汉市,青山区
龚家岭社区卫生运营服务站,医疗保健,综合医院,114.442224,30.582397,湖北省,武汉市,洪山区
东湖生态旅游风景区第一社区卫生中心,医疗保健,综合医院,114.439648,30.591827,湖北省,武汉市,洪山区
康美社区卫生运营服务站,医疗保健,综合医院,114.479959,30.607635,湖北省,武汉市,青山区
国际博览中心方舱医院,医疗保健,综合医院,114.24207,30.507012,湖北省,武汉市,汉阳区
三桥社区卫生运营服务站,医疗保健,综合医院,114.268125,30.492903,湖北省,武汉市,洪山区
张家湾街社区卫生中心,医疗保健,综合医院,114.28299,30.489846,湖北省,武汉市,洪山区
市三医院医疗联合体,医疗保健,综合医院,114.282742,30.489309,湖北省,武汉市,洪山区
张家湾社区卫生中心核酸采样点,医疗保健,综合医院,114.283346,30.490103,湖北省,武汉市,洪山区
关山街葛光社区卫生运营服务站,医疗保健,综合医院,114.423079,30.490464,湖北省,武汉市,洪山区
东湖医院,医疗保健,综合医院,114.398997,30.531498000000003,湖北省,武汉市,洪山区
东湖风景区第二社区卫生中心,医疗保健,综合医院,114.399464,30.534231,湖北省,武汉市,洪山区
楷恩医疗,医疗保健,综合医院,114.389111,30.530485,湖北省,武汉市,洪山区
中心医院杨春湖院区,医疗保健,综合医院,114.397789,30.600234,湖北省,武汉市,洪山区
白马洲社区卫生运营服务站,医疗保健,综合医院,114.419185,30.601074,湖北省,武汉市,洪山区
青山区厂前街社区卫生中心,医疗保健,综合医院,114.436518,30.613548,湖北省,武汉市,洪山区
华中科技大学同济医学院梨园医院精神心理科,医疗保健,综合医院,114.403798,30.609425,湖北省,武汉市,洪山区
天兴乡卫生室,医疗保健,综合医院,114.404803,30.60453,湖北省,武汉市,洪山区
和平街杨春湖社区卫生中心,医疗保健,综合医院,114.404291,30.609486,湖北省,武汉市,洪山区
武钢集团汉阳钢厂职工医院,医疗保健,综合医院,114.246605,30.558077,湖北省,武汉市,汉阳区
晴川街社区卫生中心,医疗保健,综合医院,114.246224,30.558239,湖北省,武汉市,汉阳区
宗关街社区卫生中心,医疗保健,综合医院,114.227726,30.600514,湖北省,武汉市,硚口区
宗关街发展社区卫生运营服务站,医疗保健,综合医院,114.227981,30.599989,湖北省,武汉市,硚口区
武汉瑞华中医医院,医疗保健,综合医院,114.260269,30.658034,湖北省,武汉市,东西湖区
余华岭社区卫生服务站,医疗保健,综合医院,114.286165,30.660426,湖北省,武汉市,江岸区
金银潭医院,医疗保健,综合医院,114.285201,30.666755,湖北省,武汉市,东西湖区
金银潭医院住院部南楼,医疗保健,综合医院,114.28602,30.665485,湖北省,武汉市,东西湖区
金银潭医院住院部北楼,医疗保健,综合医院,114.285835,30.666807,湖北省,武汉市,东西湖区
金银潭医院综合病房楼,医疗保健,综合医院,114.286447,30.666791,湖北省,武汉市,东西湖区
医疗救治中心,医疗保健,综合医院,114.286631,30.666145,湖北省,武汉市,东西湖区
武汉医疗救治中心门诊部,医疗保健,综合医院,114.286098,30.666775,湖北省,武汉市,东西湖区
肝病研究所,医疗保健,综合医院,114.286342,30.667129,湖北省,武汉市,东西湖区
